,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alone,survived
0,3,male,24.0,2,0,24.15,S,Third,man,True,C,Southampton,False,0
1,3,male,44.0,0,1,16.1,S,Third,man,True,C,Southampton,False,0
2,3,male,22.0,0,0,7.225,C,Third,man,True,C,Cherbourg,True,1
3,3,male,41.0,2,0,14.1083,S,Third,man,True,C,Southampton,False,0
4,3,female,28.5,1,0,15.5,Q,Third,woman,False,C,Queenstown,False,1
5,3,female,36.0,1,0,17.4,S,Third,woman,False,C,Southampton,False,1
6,2,female,36.0,0,0,13.0,S,Second,woman,False,C,Southampton,True,1
7,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,True,0
8,1,male,49.0,1,1,110.8833,C,First,man,True,C,Cherbourg,False,0
9,2,male,34.0,1,0,26.0,S,Second,man,True,C,Southampton,False,0
10,3,male,28.5,0,0,7.75,Q,Third,man,True,C,Queenstown,True,0
11,3,male,16.0,2,0,18.0,S,Third,man,True,C,Southampton,False,0
12,3,female,27.0,0,0,7.925,S,Third,woman,False,C,Southampton,True,1
13,2,male,31.0,1,1,37.0042,C,Second,man,True,C,Cherbourg,False,0
14,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,False,0
15,3,male,25.0,0,0,7.7417,Q,Third,man,True,C,Queenstown,True,0
16,3,female,28.5,3,1,25.4667,S,Third,woman,False,C,Southampton,False,0
17,3,male,28.5,0,0,8.05,S,Third,man,True,C,Southampton,True,0
18,3,male,17.0,0,0,7.125,S,Third,man,True,C,Southampton,True,0
19,2,female,34.0,0,0,13.0,S,Second,woman,False,C,Southampton,True,1
20,3,male,28.5,0,0,8.05,S,Third,man,True,C,Southampton,True,0
21,2,female,25.0,1,1,30.0,S,Second,woman,False,C,Southampton,False,1
22,3,male,30.0,0,0,8.05,S,Third,man,True,C,Southampton,True,0
23,3,female,35.0,1,1,20.25,S,Third,woman,False,C,Southampton,False,1
24,3,male,29.0,0,0,7.875,S,Third,man,True,C,Southampton,True,0
