,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area_Semiurban,property_area_Urban,loan_status
0,1,0,0,0,0,-0.567,-0.835,-1.604,0.284,1.0,0.0,1.0,1
1,1,1,1,0,0,-0.542,-0.835,-0.768,0.284,1.0,1.0,0.0,1
2,1,1,2,0,0,-0.532,0.216,0.213,0.284,0.0,0.0,0.0,0
3,1,1,1,1,0,-0.809,0.087,-0.459,-2.619,0.0,0.0,0.0,0
4,1,1,0,0,0,-0.822,0.531,0.213,0.284,1.0,1.0,0.0,1
5,1,1,2,1,1,-1.123,0.317,-0.75,0.284,1.0,1.0,0.0,1
6,1,1,0,0,0,-0.669,1.264,-1.495,-2.619,1.0,1.0,0.0,1
7,1,1,0,0,0,-0.918,0.479,-1.458,0.284,1.0,0.0,0.0,1
8,0,0,0,0,1,1.12,-0.835,1.012,0.284,1.0,0.0,0.0,0
9,1,1,0,0,0,-0.031,2.607,2.12,0.284,1.0,1.0,0.0,1
10,1,0,1,0,0,2.233,-0.835,0.249,0.284,1.0,1.0,0.0,1
11,1,1,0,0,0,2.233,-0.835,-0.187,0.284,1.0,0.0,1.0,1
12,0,0,1,0,0,-0.719,0.124,-0.877,0.284,1.0,0.0,1.0,1
13,1,0,0,0,0,-0.367,2.083,0.685,0.284,1.0,0.0,1.0,0
14,1,1,2,0,0,-0.837,0.597,-0.242,0.284,1.0,0.0,0.0,1
15,1,1,0,0,0,0.54,0.548,2.242,0.284,1.0,1.0,0.0,0
16,1,0,0,0,0,-0.199,2.607,0.83,0.284,1.0,0.0,1.0,1
17,1,0,0,1,0,1.077,-0.835,-0.332,0.284,1.0,0.0,0.0,0
18,1,1,3,0,0,-0.132,0.278,0.394,0.284,0.0,0.0,1.0,1
19,1,1,2,1,0,-0.15,1.17,-0.096,-2.619,1.0,0.0,1.0,1
20,1,1,3,0,0,-0.266,2.607,2.242,0.284,1.0,1.0,0.0,0
21,1,1,0,1,1,0.014,-0.835,-0.768,0.284,1.0,0.0,1.0,1
22,1,1,2,0,0,-1.054,0.16,-0.677,0.284,1.0,0.0,0.0,1
23,1,1,1,0,1,2.151,-0.835,0.303,0.284,1.0,0.0,0.0,0
24,1,1,1,1,0,-0.468,-0.169,-0.06,0.284,1.0,0.0,1.0,1
25,1,1,0,0,0,0.366,0.481,0.667,0.284,1.0,0.0,0.0,0
26,1,1,1,0,0,0.573,1.776,2.242,0.284,1.0,0.0,1.0,1
27,1,1,2,0,1,0.437,-0.835,0.104,-4.167,1.0,0.0,0.0,1
28,1,1,0,0,0,-0.43,1.786,-0.114,-2.619,0.0,0.0,0.0,0
29,1,1,3,0,0,-0.602,1.623,0.757,-0.684,0.0,1.0,0.0,0
30,0,0,0,0,0,-0.871,-0.835,-1.295,0.284,1.0,0.0,1.0,1
31,0,0,0,0,0,-0.671,-0.835,-1.422,0.284,1.0,0.0,1.0,1
32,0,0,0,0,0,-0.328,-0.835,-0.496,0.284,1.0,1.0,0.0,1
33,1,0,0,0,0,-0.434,-0.835,-0.768,0.284,1.0,0.0,1.0,0
34,1,1,1,1,0,0.271,-0.14,0.866,0.284,1.0,0.0,1.0,1
35,1,1,2,0,0,0.513,-0.835,-0.096,0.284,1.0,1.0,0.0,1
36,0,0,0,0,0,-0.199,-0.835,-0.405,0.284,0.0,1.0,0.0,0
37,1,1,2,0,0,-0.105,-0.835,-0.205,0.284,0.0,1.0,0.0,0
38,1,0,0,0,0,0.54,-0.835,0.031,0.284,1.0,0.0,0.0,1
39,1,0,0,0,0,-1.106,2.276,-1.295,0.284,1.0,0.0,0.0,0
40,1,1,1,0,1,-1.475,1.022,-0.514,0.284,1.0,0.0,1.0,0
41,1,1,2,0,0,-0.199,0.054,0.358,0.284,1.0,0.0,0.0,1
42,1,0,0,0,0,-0.213,-0.835,-0.296,0.284,1.0,1.0,0.0,1
